"TASK_TYCD","KEY_MSG","KEY","MSG","LANG_CD"
common,common.over.team.num=You cannot create more teams than the number of students.,common.over.team.num,You cannot create more teams than the number of students.,en
common,common.participant=participant,common.participant,participant,en
common,common.participation.present.condition=Mutual evaluation status,common.participation.present.condition,Mutual evaluation status,en
common,common.period=Period,common.period,Period,en
common,common.plus.allscore=Add scores in bulk,common.plus.allscore,Add scores in bulk,en
common,common.pop.be.do=.,common.pop.be.do,.,en
common,common.pop.change.status.private=Change status to private.,common.pop.change.status.private,Change status to private.,en
common,common.pop.delete.content.fail=Delete failed. Please try again.,common.pop.delete.content.fail,Delete failed. Please try again.,en
common,common.pop.delete.content.success=Delete was successful.,common.pop.delete.content.success,Delete was successful.,en
common,"common.pop.description.of.score.ratio=For assignments submitted during the extended submission period, the final score is determined based on the score reflection ratio.",common.pop.description.of.score.ratio,"For assignments submitted during the extended submission period, the final score is determined based on the score reflection ratio.",en
common,common.pop.edit.feedback.fail=Failed to edit feedback. Please try again.,common.pop.edit.feedback.fail,Failed to edit feedback. Please try again.,en
common,common.pop.edit.feedback.success=Feedback editing was successful.,common.pop.edit.feedback.success,Feedback editing was successful.,en
common,common.pop.edit.feedback.del.confirm=Are you sure you want to delete feedback?,common.pop.edit.feedback.del.confirm,Are you sure you want to delete feedback?,en
common,common.pop.edit.reply.fail=Failed to edit comment. Please try again.,common.pop.edit.reply.fail,Failed to edit comment. Please try again.,en
common,common.pop.edit.reply.success=Your comment has been edited successfully.,common.pop.edit.reply.success,Your comment has been edited successfully.,en
common,common.pop.init.evaluation.score=The evaluation score has been initialized.,common.pop.init.evaluation.score,The evaluation score has been initialized.,en
common,common.pop.input.feedback=Please enter your feedback.,common.pop.input.feedback,Please enter your feedback.,en
common,common.pop.input.score=Enter your score.,common.pop.input.score,Enter your score.,en
common,common.pop.input.title=Enter a title.,common.pop.input.title,Enter a title.,en
common,common.pop.insert.score.only.number=Please enter the score as a number.,common.pop.insert.score.only.number,Please enter the score as a number.,en
common,common.pop.max.score.hundred=Score can be entered up to 100 points.,common.pop.max.score.hundred,Score can be entered up to 100 points.,en
common,"common.pop.mut.evaluation.alert=Please note that if you edit or change the options for mutual evaluation or evaluation criteria, all evaluation content that has already been performed will be deleted and reset.",common.pop.mut.evaluation.alert,"Please note that if you edit or change the options for mutual evaluation or evaluation criteria, all evaluation content that has already been performed will be deleted and reset.",en
